REG_ID_ENR,OTHER_INSTITUTION_AUTRE
510581,Ministère de la Coopération internationale
510581,Bureau du surintendant des institutions financières
510585,Canadian Public Health Agency
510585,Canadian Institute of Health Research
510585,Investment Review Agency
510585,Technology Partnership Canada
510586,Service Health Care Plan
510591,Office of the Superintendent of Financial Institutions
510591,Interprovincial Trade
510613,Pest Management Registration Agency
510619,Food Inspection Agency
510621,FedNor
510625,Canada Health Infoway
510625,Intergovernmental Affairs
510625,Canadian Health Council
510625,Canadian Institute for Health Information
510625,Canadian Patient Safety Institute
510626,Canada Health Infoway
510626,Intergovernmental Affairs
510626,Canadian Health Council
510626,Canadian Institute for Health Information
510626,Canadian Patient Safety Institute
510627,Public Health Agency
510627,Intergovernmental Affairs
510627,Canadian Health Council
510627,Canadian Institute for Health Information
510627,Canadian Patient Safety Institute
510627,Canada Health Infoway
510628,Canada Health Infoway
510628,Intergovernmental Affairs
510628,Canadian Health Council
510628,Canadian Institute for Health Information
510628,Canadian Patient Safety Institute
510629,Canada Health Infoway
510629,Intergovernmental Affairs
510629,Canadian Health Council
510629,Canadian Institute for Health Information
510629,Canadian Patient Safety Institute
510630,Intergovernmental Affairs
510630,Canadian Institute for Health Information
510630,Canada Health Infoway
510630,Canadian Health Council
510630,Canadian Patient Safety Institute
510631,Canadian Patient Safety Institute
510631,Canadian Institute for Health Information
510631,Intergovernmental Affairs
510631,Canada Health Infoway
510631,Canadian Health Council
510632,Canada Health Infoway
510632,Intergovernmental Affairs
510632,Canadian Health Council
510632,Canadian Institute for Health Information
510632,Canadian Patient Safety Institute
510658,CROWN CORPORATIONS
510658,LABOUR
510673,"Ad Hoc Cabinet Committee on Sustainability, the Environment Commons Standing Committee on Environment and Sustainable Development, Atlantic Canada Members of Parliament and Prime Minister's Office"
510709,CEAA
510710,CEAA
510711,Office of the Superintendent of Financial Institutions (OSFI)
510737,Office of the Superintendent of Financial Institutions
510738,Sustainable Development Technology Canada
510739,Governor General
510742,Governor General
510751,International Security Branch
510752,Sustainable Development Technology Canada (SDTC)
510766,Canadian Institute of Health Research
510766,Public Health Agency
510766,Institute of Infection and Immunity
510773,Export Development Corporation
510779,OSFI
510781,Pilotage Authorities
510786,Competition Policy Review Panel
510786,Minister of Industry
510786,Minister of International Trade and Pacific Gateway
510787,Pest Management Registration Agency
510788,Pest Management Registration Agency
510789,Pest Management Registration Agency
510790,Pest Management Registration Agency
510795,Intergovernmental Affairs
510809,CMHC
510810,CMHC
510829,Office of the Superintendent of Financial Institutions (OSFI)
510830,Copyright Board
510841,Développement Économique Canada (DEC)
510842,Développement Économique Canada (DCE)
510843,Développement Économique Canada (DEC)
510843,Emploi-Québec (EQ)
510844,Développement Économique Canada (DEC)
510845,Atlantic Canada Innovation Fund
510845,Cape Breton Growth Fund
510848,"Transportation, Infrastructure and Communities"
510873,Labour Canada
510877,CANADA POST
510878,CANADA POST
475639,null
475641,RURAL DEVELOPMENT
475664,null
475675,MINISTRY OF TRANSPORTATION
475707,REGIONAL DEVELOPMENT
475722,CMHC
475726,MP'S
475730,PARLIAMENTARY SECRETARY TO THE MINISTER OF FINANCE
475730,PARLIAMENTARY SECRETARY TO THE PRIME MINISTER (CITIES)
475732,OFFICE OF THE DEPUTY PRIME MINISTER
475743,"DENNIS MILLS, MEMBER OF PARLIAMENT"
475746,"MEMBERS OF PARLIAMENT, SENATORS"
475748,CANADA LANDS CORPORATION
475751,MPS
475755,"MEMBERS OF PARLIAMENT, PRIME MINISTER'S OFFICE"
475756,null
475756,CANADIAN BORDER SERVICES AGENCY
475761,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
475761,SENATE
475768,PMO
475768,PRIME MINISTER OFFICE
475779,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
475796,CANADA CUSTOMS AND REVENUE AGENCY
475806,BUREAU DU PREMIER MINISTRE
475812,CANADA COUNCIL
475812,CROWN ASSET CORPORATION
475824,OFFICE OF THE NOVA SCOTIA REGIONAL MINISTER
475826,null
475826,"PRIME MINISTER'S OFFICE, MEMBERS OF PARLIAMENT, SENATORS"
475832,CFIA
475836,"CABINET OFFICE, OFFICE OF THE PREMIER, MINISTRY OF ECONOMIC DEVELOPMENT"
475846,EXPORT DEVELOPMENT CORPORATION
475871,NATIONAL TRANSPORTATION AGENCY
475872,"TOURISM, CULTURE, ECONOMIC DEVELOPMENT & MUNICIPAL AFFAIRS"
475877,MEMBERS OF PARLIAMENT
475877,SENATORS
475877,PARLIAMENTARY COMMITTEES ON FINANCE
475892,OSFI
475895,NATIONAL PARKS SERVICE
475895,CANADA LANDS
475917,MUSEUMS ASSISTANCE PROGRAM
475933,MP'S
475943,SASKATCHEWAN HEALTH
475959,MP'S
475992,DEPUTY PRIME MINISTER'S OFFICE/DEPT. OF PUBLIC SAFETY AND EMERGENCY PREPAREDNESS
475992,PUBLIC HEALTH AGENCY OF CANDA
476004,"MEMBERS OF PARLIAMENT, PRIME MINISTER'S OFFICE"
476009,"MEMBERS OF PARLIAMENT, SENATORS"
476021,INTERDEPARTMENTAL MARITIME SECURITY WORKING GROUP MEMBERSHIP
476023,null
476030,OFFICE OF THE GOVERNOR GENERAL
476035,null
476060,MP'S
476061,PCO - PRIVY COUNCIL OFFICE
476064,"MINISTRES, PERSONNEL DU MINISTÈRE ET DIRECTEURS DE SERVICE DANS LES MINISTÈRES EN QUESTION"
476065,LABOUR
476067,ROYAL CANADIAN MINT
476072,STATUS OF WOMEN SECRETARIAT
476072,NATIONAL FORUM ON HEALTH CARE
476072,MEDICAL RESEARCH COUNCIL
476076,RURAL DEVELOPMENT
476080,OFFICE OF THE PRIME MINISTER OF CANADA
476087,MEMBERS OF PARLIAMENT
476098,NATIONAL TRANSPORTATION AGENCY
476114,DEPUTY PRIME MINISTER'S OFFICE
476122,COAST GUARD
476123,SECRETARY OF STATE OF SCIENCE FOR RESEARCH & DEVELOPMENT
476128,"CABINET OFFICE, OFFICE OF THE PREMIER, MINISTRY OF ECONOMIC DEVELOPMENT"
476160,EXPORT DEVELOPMENT CORPORATION
476160,BUSINESS DEVELOPMENT CANADA
476169,GOVERNMENT SERVICES
476178,SPORT AMATEUR
476186,GOVERNMENT SERVICES
476187,MEMBERS OF PARLIAMENT; MPS STAFF
476196,SUSTAINABLE DEVELOPMENT TECHNOLOGY CANADA
476198,DEPUTY PRIME MINISTER'S OFFICE
476216,DEPUTY PRIME MINISTER'S OFFICE
476218,VARIOUS MEMBERS OF PARLIAMENT
476223,"OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS, MEMBERS OF HOUSE OF COMMONS AND SENATE AND H"
476226,CITIES SECRETARIAT
476229,MPS AND PMO
476236,DEPUTY PRIME MINISTER'S OFFICE
476241,MEMBER OF PARLIAMENT
476242,LABOUR AND HOUSING
476244,INFRASTRUCTURES AND COMMUNITIES
476246,OFFICE OF THE AUDITOR GENERAL
476247,INVESTMENT CANADA
476253,"IRAP, SRED, PEMD"
476269,"MEMBERS OF PARLIAMENT, SENATORS"
476273,SECURITY
476284,MP'S
476285,LEADER OF THE GOVERNMENT IN THE SENATE
476322,"MEMBERS OF PARLIAMENT, PRIME MINISTER'S OFFICE"
476324,SOCIAL DEVELOPMENT CANADA
476329,CANADIAN COUNCIL FOR LEARNING
476329,CANADA FOUNDATION FOR INNOVATION
476329,POLICY RESEARCH INITIATIVE
476329,NATIONAL SCIENCE ADVISOR
476329,CANADIAN MILLENIUM SCHOLARSHIP FOUNDATION
476334,EXPORT DEVELOPMENT CORPORATION / SOCIETE POUR L'EXPANSION DES EXPORTATIONS
498626,AUDITOR GENERAL
498629,LABOUR CANADA
498634,CANADIAN INSTITUTES FOR HEALTH RESEARCH
498635,GENOME CANADA
498638, INVESTMENT REVIEW AGENCY
498653,Coast Guard
498653,Labour Canada
498653,Public Safety & Emergency Preparedness
498664,Pivacy Commissioner
498666,Canadian Artists and Producers Professional Relations Tribunal
498670,Health Minister's Office
498715,H2EA and Technology Partnership Canada
498752,FedNor
498752,EcoCanada
498752,EcoAction
498752,Canada Foundation for Innovation
498764,CATSA
498766,Fderal Office Regional Development Quebec
498773,CATSA
498789,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
498807,Members of Parliament
498807,Senators
498808,NATURAL HEALTH PRODUCTS DIRECTORATE
498809,NATURAL HEALTH PRODUCT DIRECTORATE
498809,DEPUTY MINISTER'S OFFICE
498810,Investment Canada
498811,Investment Canada
498819,Public Safety and Emergancy Preparedness
498837,Membres du Parlement
498846,Intergovernmental Affairs
498848,Intergovernmental Affairs
498849,Intergovernmental Affairs
498852,pilotage authorities
498856,National Revenue
498856,International Trade
498856,Pacific Gateway
498856,2010 Olympics
498859,The Senate of Canada
498859,Intergovernmental Affairs
498859,Canada Health Infoway
498859,Canadian Health Council
498859,Canadian Institute for Health Information
498861,The Senate of Canada
498861,Intergovernmental Affairs
498861,Canada Health Infoway
498861,Canadian Health Council
498861,Canadian Institute for Health Research
498889,CROWN CORPORATIONS
498889,LABOUR
498890,MINISTERS
498890,MEMBERS OF PARLIAMENT
498902,Social Development Canada/Sport Canada
498905,Members of Parliament
498906,Office of the Superintendent of Financial Institutions
498908,CANADA MILLENNIUM SCHOLARSHIP FOUNDATION
498908,CANADIAN INSTITUTE FOR HEALTH RESEARCH
498909,Province of Ontario (MPPs)
498911,CULTURAL SPACES CANADA
498912,PUBLIC SAFETY & EMERGENCY PREPAREDNESS
498912,CANADIAN SECURITY INTELLIGENCE SERVICES
498912,STANDING COMMITEE ON TRANSPORTATION
498917,PMO
498918,P.M.'s Office
498931,CATSA
498943,CANADIAN BORDER SERVICES AGENCY
498943,CANADA CUSTOMS AND REVENUE AGENCY
498945,Crown Corporation Secretariat
498961,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
498970,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
498972,M.P.'s
498973,M.P.'s
498974,MP's
