,name1,name2,status,business_number,corp_number
0,AECON GROUP INC.,GROUPE AECON INC., Active, 100263540RC0001, 0135607
1,FONDATION AIR CANADA,AIR CANADA FOUNDATION, Active, 831577283RC0001, 8027366
2,Air Canada Rouge General Partner Inc.,Commandité Air Canada Rouge Inc., Active, 845224336RC0001, 8165343
3,AIR CANADA,, Active, 100092287RC0003, 4396626
4,JOHNSON OUTDOORS CANADA INC.,JOHNSON PLEIN AIR CANADA INC., Active, 102699295RC0002, 4141920
5,Light Air Canada Corporation,, Active, 780628731RC0001, 11519832
6,AIR CANADA PIONAIRS,, Active, 801722166RC0001, 0849561
7,Solace Xpert Air Canada Inc.,, Active, 795717909RC0001, 13080684
8,ALAMOS GOLD HOLDINGS INC.,, Active, 789958915RC0001, 10439282
9,Algonquin Power & Utilities Corp.,, Active, 896301744RC0001, 2362376
10,AltaGas Ltd.,, Active, 137864229RC0004, 11818520
11,AltaGas Holdings #4 Inc.,, Active, 832005730RC0001, 8387591
12,AltaGas Holdings #5 Inc.,, Active, 828357244RC0001, 8387583
13,ALTAGAS HOLDINGS INC.,, Active, 857235402RC0002, 7713380
14,ALTAGAS GENERAL PARTNER INC.,, Active, 857308605RC0002, 4544609
15,AltaGas Finance Ltd.,, Active, 780189684RC0001, 10538744
16,ALTAGAS IDEMITSU MANAGEMENT #2 INC.,, Active, 822443586RC0001, 9103368
17,AltaGas LPG General Partner Inc.,, Active, 805566163RC0001, 9426922
18,AltaGas DCLNG General Partner Inc.,, Active, 827864992RC0001, 9091599
19,AltaGas Ridley Island LPG Operations Inc.,, Active, 716268099RC0001, 10222402
20,Wellington-Altus Group Solutions Inc.,, Active, 876095431RC0002, 14312015
21,Altus Group Data Solutions Inc.,Groupe Altus Gestion de données Inc., Active, 897232567RC0002, 4007514
22,ATCO Power (2010) Ltd.,, Active, 832748206RC0001, 7735111
23,ATCO-Kivalliq Services Ltd.,, Active, 756267498RC0001, 9871373
24,ATCO MIDSTREAM NWT LTD.,, Active, Not Available, 3068846
25,ATCO Electric Ltd.,, Active, 100113513RC0001, 0101605
26,ATCO Energy Ltd.,, Active, 808547194RC0001, 9239090
27,ATCO CHEMICAL CORP.,, Active, 864369194RC0001, 3830365
28,ATCO Technology Management Ltd.,, Active, 802859975RC0001, 8961433
29,ATCO Power (Energy) Holdings Ltd.,, Active, 848436093RC0001, 7020601
30,ATCO Holdings Canada Two Ltd.,, Active, 753836949RC0001, 14511522
31,ATCO Power Holdings One Ltd.,, Active, 753617141RC0001, 14511620
32,ATCO-5296 Building and Services Ltd.,, Active, 774379291RC0001, 9711210
33,O2Gold Inc.,, Active, 820904100RC0001, 8173303
34,BANK OF MONTREAL HOLDING INC.,, Active, 873467971RC0003, 13347087
