Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-12-02,2022-12-02,Proof Inc.,Moneris,Bruce MacLellan,"Alberta Jobs, Economy and Northern Development, Executive Council, Alberta Health, Premier's Office",-,Health,CL-12279-03,Consultant Lobbyist,"Chris McCluskey, Jim Patrick",Notice of Change,Terminated,View 
2022-12-01,2022-12-02,Temple Scott Associates Inc.,Mastercard Canada,Don Moors,"Alberta Jobs, Economy and Northern Development, Alberta Treasury Board and Finance",-,Procurement,CL-12768-02,Consultant Lobbyist,Ujwal Ganguly,Notice of Change,Terminated,View 
2022-11-24,-,Novartis Pharmaceuticals Canada Inc.,-,Andrea Marazzi,"Service Alberta and Red Tape Reduction, Alberta Jobs, Economy and Northern Development, Executive Council, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","University of Alberta, Alberta Health Services, University of Calgary",Health,OL-10496-27,Organization Lobbyist,"Helen Trifonopolous, Andrea Marazzi, Thea Discepola, Kimberly King, Caroline Barber, Clayton Gilmour, Graham Anderson, Jordan Roumieu",Notice of Change,Archived,View 
2022-11-24,2022-11-25,Temple Scott Associates Inc.,Board of Canadian Registered Safety Professionals,Don Moors,"Alberta Trade, Immigration and Multiculturalism",-,"Workplace Safety, Labour Relations",CL-12082-04,Consultant Lobbyist,"Joshua Matthewman, Ryan Singh",Notice of Change,Terminated,View 
2022-11-22,-,Canadian Medical Association,-,Timothy Smith,"Alberta Public Safety and Emergency Services, Alberta Justice, Executive Council, Alberta Trade, Immigration and Multiculturalism, Alberta Health, Alberta Legislative Assembly, Premier's Office",-,"Health, Justice and Law Enforcement",OL-10605-24,Organization Lobbyist,"Louise Sweatman, Dr. Alika Lafontaine, Nick Lecuyer, Joseph Mayer, Kristin Smith, Pascal Charron, Dr. Jeff Blackmer, Nick Farinaccio, Tim Smith, Luce Lavoie, John Feeley, Audrey Grandmaison, Stephen Vail, Cecile Bensimon, Aline Gagnon, Owen Adams, Julie Aung, Manon Abud, Azin Peyrow, Jennifer Kitts, Caroline Bouchard, Ashley Chisholm, Philippe Ha, Jasmine Neeson, Marie-Claire Bedard, Dr. Katharine Smart, Eric Lewis, Elena Gabrysz, Karey Shuhendler, Romeo Tello, Renee Belanger, Dr. Kathleen Ross",Notice of Change,Archived,View 
2022-11-21,-,Global Public Affairs,The Town of Okotoks,Randy Pettipas,"Alberta Legislative Assembly, Alberta Seniors, Community and Social Services, Premier's Office",-,Housing,CL-13007-01,Consultant Lobbyist,"Maryann Chichak, Paul Whittaker, Jordan Pinkster",Initial Return,Archived,View 
2022-11-21,-,NOAH Water Technologies Inc.,-,Randy Christie,Alberta Agriculture and Irrigation,-,Agriculture,OL-12002-05,Organization Lobbyist,"Randy Christie, Alan Wilson",Semi-Annual Renewal,Archived,View 
2022-11-11,-,Wellington Advocacy Inc.,Cronos Group Inc.,Nick Koolsbergen,"Service Alberta and Red Tape Reduction, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission",Economic Development,CL-12996-01,Consultant Lobbyist,"Matt de Jong, Peter Csillag, Brad Tennant",Initial Return,Archived,View 
2022-11-09,-,Alberta Counsel,Liricon Capital Inc.,Jonathon Wescott,"Alberta Jobs, Economy and Northern Development, Alberta Infrastructure, Alberta Environment and Protected Areas, Executive Council, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Transportation and Economic Corridors, Premier's Office",-,Transportation,CL-12986-02,Consultant Lobbyist,"Pascal Ryffel, Sydney McHale, Votham Anastasiadis, Aileen Burke, Aaron Singleton, Heather Feldbusch, Zack Ziolkowski, James Johnson, Shayne Saskiw",Notice of Change,Archived,View 
2022-11-07,-,Brookfield BRP Canada Corp. (operating as Evolugen),-,Josée Guibord,"Alberta Environment and Protected Areas, Alberta Jobs, Economy and Northern Development, Alberta Energy, Executive Council, Alberta Affordability and Utilities, Alberta Legislative Assembly",Alberta Electric System Operator,"Energy, Environment",OL-12715-03,Organization Lobbyist,"Isabelle Deguise, Julien Wu, Mike Peters, Remi Moreau",Semi-Annual Renewal,Archived,View 
2022-11-07,-,Alberta Counsel,Equity Health Services Inc.,Jonathon Wescott,"Alberta Jobs, Economy and Northern Development, Executive Council, Alberta Health, Premier's Office",Alberta Health Services,Health,CL-12988-01,Consultant Lobbyist,"Shayne Saskiw, Pascal Ryffel, James Johnson, Zack Ziolkowski, Aileen Burke, Aaron Singleton, Votham Anastasiadis, Sydney McHale",Initial Return,Archived,View 
2022-11-07,-,Alberta Counsel,Liricon Capital Inc.,Jonathon Wescott,"Alberta Environment and Protected Areas, Alberta Infrastructure, Alberta Jobs, Economy and Northern Development, Alberta Indigenous Relations, Alberta Municipal Affairs, Executive Council, Alberta Transportation and Economic Corridors, Premier's Office",-,Transportation,CL-12986-01,Consultant Lobbyist,"Shayne Saskiw, James Johnson, Zack Ziolkowski, Heather Feldbusch, Aaron Singleton, Aileen Burke, Votham Anastasiadis, Sydney McHale, Pascal Ryffel",Initial Return,Archived,View 
2022-11-04,-,Global Public Affairs,Entos Pharmaceuticals,Randy Pettipas,"Alberta Jobs, Economy and Northern Development, Alberta Infrastructure, Service Alberta and Red Tape Reduction, Alberta Health, Premier's Office",-,"Health, Economic Development",CL-11861-14,Consultant Lobbyist,"Thanh Ngo, Paul Whittaker, Farid Foroud, Danielle Cruz",Notice of Change,Archived,View 
2022-11-04,-,Global Public Affairs,Strathcona County,Randy Pettipas,"Alberta Infrastructure, Alberta Transportation and Economic Corridors",-,Infrastructure,CL-10981-06,Consultant Lobbyist,Melissa Carvalho,Notice of Change,Archived,View 
2022-11-02,-,Alberta Counsel,Edmonton Chamber of Voluntary Organizations (ECVO),Jonathon Wescott,"Service Alberta and Red Tape Reduction, Alberta Culture, Alberta Legislative Assembly, Alberta Seniors, Community and Social Services, Premier's Office",-,Social programs,CL-12485-04,Consultant Lobbyist,"Sydney McHale, Heather Feldbusch, Shayne Saskiw, Pascal Ryffel, James Johnson, Votham Anastasiadis, Zack Ziolkowski, Aileen Burke, Aaron Singleton",Notice of Change,Archived,View 
2022-11-02,-,Alberta Counsel,Genesis Land Development Corp.,Jonathon Wescott,"Alberta Infrastructure, Alberta Municipal Affairs, Alberta Transportation and Economic Corridors, Premier's Office",-,Infrastructure,CL-12968-01,Consultant Lobbyist,"Shayne Saskiw, Pascal Ryffel, James Johnson, Zack Ziolkowski, Aileen Burke, Votham Anastasiadis, Aaron Singleton, Heather Feldbusch, Sydney McHale",Initial Return,Archived,View 
2022-11-02,-,Sun Life Financial,-,Kevin Strain,"Alberta Jobs, Economy and Northern Development, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","Alberta Health Services, Alberta Innovates","Insurance, Health, Banks and Other Financial Institutions",OL-10943-20,Organization Lobbyist,"Ali Salam, Jessica Brcko, Victor Gomez, Alanna Boyd, Marianne Nguyen",Notice of Change,Archived,View 
2022-11-01,2022-12-01,Alberta North Projects Ltd.,Inter Pipeline Ltd.,Christopher Ghazouly,"Alberta Energy, Alberta Municipal Affairs",-,"Energy, Municipal Affairs",CL-10162-08,Consultant Lobbyist,Christopher Ghazouly,Notice of Change,Terminated,View 
2022-11-01,2022-12-01,Global Public Affairs,Chevron Canada Limited,Randy Pettipas,"Alberta Jobs, Economy and Northern Development, Alberta Environment and Protected Areas, Alberta Energy",Alberta Energy Regulator,"Energy, Climate",CL-12528-02,Consultant Lobbyist,"Cameron Brown, Pierre Alvarez, Doug Noble",Notice of Change,Terminated,View 
2022-11-01,-,Crestview Strategy,No Options No Choice Coalition,Chad Rogers,"Alberta Public Safety and Emergency Services, Alberta Justice, Service Alberta and Red Tape Reduction, Alberta Technology and Innovation, Alberta Jobs, Economy and Northern Development, Alberta Infrastructure, Alberta Environment and Protected Areas, Alberta Culture, Alberta Mental Health and Addictions, Alberta Energy, Alberta Children’s Services, Alberta Trade, Immigration and Multiculturalism, Alberta Municipal Affairs, Alberta Indigenous Relations, Executive Council, Alberta Health, Alberta Education, Alberta Affordability and Utilities, Alberta Transportation and Economic Corridors, Alberta Legislative Assembly, Alberta Agriculture and Irrigation, Alberta Treasury Board and Finance, Alberta Seniors, Community and Social Services, Premier's Office, Alberta Skilled Trades and Professions, Alberta Forestry, Parks and Tourism, Alberta Advanced Education",-,Health,CL-12964-02,Consultant Lobbyist,Mira Ahmad,Notice of Change,Archived,View 
2022-10-31,-,Verum Consulting,Canadian Manufacturers and Exporters Association,Ben Brunnen,"Alberta Jobs, Economy and Northern Development, Alberta Environment and Protected Areas, Alberta Energy, Executive Council, Alberta Trade, Immigration and Multiculturalism, Alberta Transportation and Economic Corridors, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,"Research and Development, Economic Development, Transportation, Trades and Occupations",CL-12904-02,Consultant Lobbyist,Ben Brunnen,Notice of Change,Archived,View 
2022-10-31,-,Brookfield BRP Canada Corp. (operating as Evolugen),-,Josée Guibord,"Alberta Jobs, Economy and Northern Development, Alberta Environment and Protected Areas, Alberta Energy, Executive Council, Alberta Affordability and Utilities, Alberta Legislative Assembly",Alberta Electric System Operator,"Energy, Environment",OL-12715-02,Organization Lobbyist,"Remi Moreau, Mike Peters, Julien Wu, Isabelle Deguise",Notice of Change,Archived,View 
2022-10-28,-,Crestview Strategy,Christian Medical and Dental Association Canada,Chad Rogers,"Alberta Justice, Alberta Public Safety and Emergency Services, Alberta Culture, Alberta Environment and Protected Areas, Alberta Infrastructure, Alberta Jobs, Economy and Northern Development, Alberta Technology and Innovation, Service Alberta and Red Tape Reduction, Alberta Children’s Services, Alberta Energy, Alberta Mental Health and Addictions, Executive Council, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Trade, Immigration and Multiculturalism, Alberta Affordability and Utilities, Alberta Education, Alberta Health, Alberta Agriculture and Irrigation, Alberta Legislative Assembly, Alberta Transportation and Economic Corridors, Alberta Seniors, Community and Social Services, Alberta Treasury Board and Finance, Alberta Advanced Education, Alberta Forestry, Parks and Tourism, Alberta Skilled Trades and Professions, Premier's Office",-,Health,CL-12964-01,Consultant Lobbyist,Mira Ahmad,Initial Return,Archived,View 
2022-10-28,-,HelpSeeker Inc.,-,Alina Turner,"Alberta Justice, Alberta Jobs, Economy and Northern Development, Alberta Children’s Services, Alberta Trade, Immigration and Multiculturalism, Executive Council, Alberta Community and Social Services, Alberta Seniors, Community and Social Services","Alberta Health Services, University of Calgary, Premier’s Council on Charities and Civil Society, Alberta Human Rights Commission","Human Rights, Social programs, Citizenship and Immigration, Science and Technology, Children’s Services, Indigenous Relations, Disaster Services and Emergency Relief, Housing",OL-11699-06,Organization Lobbyist,"Carille Mendoza, Travis Turner, Camilo Escamilla, Alina Turner, Matt Parker, Jesse Donaldson",Semi-Annual Renewal,Archived,View 
2022-10-24,-,The Co-operators Group Ltd.,-,Rob Wesseling,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Municipal Affairs, Service Alberta, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance",Automobile Insurance Rate Board,"Insurance, Infrastructure",OL-10965-23,Organization Lobbyist,"Scott MacDonald, Nicole Bellefleur, Gerry Martineau, George Hardy, Todd Saunders, Christopher Ross, Jim Mahoney, Sara Cleland, Maya Milardovic, Lisa Guglietti, Robert Wesseling, Lee Rumleskie",Semi-Annual Renewal,Archived,View 
2022-10-21,-,Santis Health Inc.,Togetherall Canada Ltd.,Dan Carbin,"Alberta Community and Social Services, Executive Council, Alberta Health, Alberta Advanced Education, Premier's Office",Alberta Health Services,Health,CL-12946-01,Consultant Lobbyist,"Steve Vander Wal, Stephanie Gawur",Initial Return,Archived,View 
2022-10-21,-,1689986 ALBERTA LIMITED carrying on business as Navigator,Wolf Midstream Inc,Jason Hatcher,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Treasury Board and Finance, Premier's Office",-,Energy,CL-11770-05,Consultant Lobbyist,"Rosa Ellithorpe, Lauren Armstrong",Notice of Change,Archived,View 
2022-10-20,-,Association of Professional Engineers and Geoscientists of Alberta,-,Jay Nagendran,Alberta Labour and Immigration,-,Trades and Occupations,OL-10381-34,Organization Lobbyist,"Gabrielle Abernethy, John Corriveau, Mohamed El Daly, Dianne Johnstone, Enayat Aminzadah, Nancy Biamonte, Jay Nagendran",Notice of Change,Archived,View 
